"grid_id","total_species","type1_freq","type2_freq","type3_freq","type4_freq","type5_freq","type6_freq"
305,2,0.5,0.5,0,0,0,0
306,3,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333
309,2,0.5,0,0,0,0,0.5
310,5,0.4,0.2,0,0,0.2,0.2
312,2,0,0,0,0.5,0,0.5
313,2,0,0,0,0,0.5,0.5
314,1,1,0,0,0,0,0
315,2,0,0,0,0,1,0
319,1,1,0,0,0,0,0
328,2,0.5,0,0,0,0,0.5
697,2,1,0,0,0,0,0
698,2,0.5,0.5,0,0,0,0
700,2,1,0,0,0,0,0
701,2,0.5,0,0,0,0,0.5
702,2,0.5,0,0,0,0,0.5
703,4,0.25,0.25,0,0.25,0,0.25
704,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333
705,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333
706,1,0,0,0,0,0,1
709,3,0.333333333333333,0,0,0,0.666666666666667,0
712,1,0,0,0,0,1,0
713,1,0,0,0,0,1,0
714,1,0,0,0,0,1,0
715,1,0,0,0,0,1,0
716,2,0,0,0,0,1,0
721,5,0.4,0,0,0,0.4,0.2
722,4,0.5,0,0,0,0.25,0.25
1089,2,0.5,0,0,0,0,0.5
1090,4,0.5,0.25,0,0,0,0.25
1091,1,1,0,0,0,0,0
1092,1,1,0,0,0,0,0
1093,3,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333
1094,6,0.166666666666667,0.166666666666667,0,0.5,0,0.166666666666667
1095,3,0,0.666666666666667,0,0,0,0.333333333333333
1096,2,0.5,0,0,0.5,0,0
1097,6,0.166666666666667,0,0,0.5,0.166666666666667,0.166666666666667
1098,4,0.25,0,0,0.25,0,0.5
1099,2,0,0,0,0,0.5,0.5
1101,3,0,0,0,0.333333333333333,0.666666666666667,0
1102,4,0,0,0,0.25,0.75,0
1103,5,0.2,0,0,0.2,0.4,0.2
1104,2,0,0,0,0,1,0
1105,3,0,0,0,0,1,0
1106,5,0.2,0,0,0,0.8,0
1107,1,0,0,0,0,1,0
1108,1,0,0,0,0,1,0
1109,2,0,0,0,0,1,0
1110,5,0.4,0.2,0,0,0.4,0
1111,1,0,0,0,0,1,0
1114,3,0.666666666666667,0,0,0,0,0.333333333333333
1115,4,0.5,0,0,0,0.25,0.25
1482,1,1,0,0,0,0,0
1483,2,1,0,0,0,0,0
1484,11,0.363636363636364,0.363636363636364,0,0.181818181818182,0,0.0909090909090909
1486,2,0.5,0,0,0,0.5,0
1487,12,0.25,0.5,0,0.0833333333333333,0.0833333333333333,0.0833333333333333
1488,4,0.25,0.25,0,0,0.25,0.25
1489,3,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333
1490,4,0.25,0.25,0,0.25,0,0.25
1491,1,1,0,0,0,0,0
1492,2,0.5,0,0,0,0.5,0
1493,6,0.166666666666667,0,0,0.5,0.333333333333333,0
1494,5,0.2,0,0,0.2,0.6,0
1495,5,0.2,0,0,0.2,0.6,0
1496,5,0.2,0,0,0.2,0.6,0
1497,2,0.5,0,0,0,0.5,0
1498,3,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0
1499,5,0.2,0,0,0.2,0.6,0
1500,3,0.333333333333333,0,0,0,0.666666666666667,0
1501,4,0.25,0,0,0,0.75,0
1503,2,0,0,0,0,0.5,0.5
1504,3,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333
1505,1,0,0,0,0,1,0
1508,2,0.5,0,0,0,0,0.5
1875,2,0.5,0.5,0,0,0,0
1876,7,0.428571428571429,0.142857142857143,0,0.285714285714286,0.142857142857143,0
1877,12,0.333333333333333,0.416666666666667,0,0.25,0,0
1878,4,0.5,0.5,0,0,0,0
1880,5,0.2,0.4,0,0.2,0,0.2
1881,7,0.142857142857143,0.285714285714286,0,0.285714285714286,0.142857142857143,0.142857142857143
1882,4,0.25,0.75,0,0,0,0
1883,2,0.5,0,0,0,0.5,0
1884,6,0.166666666666667,0,0,0.333333333333333,0.333333333333333,0.166666666666667
1885,8,0.5,0.125,0,0,0.375,0
1886,2,0.5,0.5,0,0,0,0
1887,1,1,0,0,0,0,0
1888,6,0.166666666666667,0.166666666666667,0,0,0.5,0.166666666666667
1889,4,0.25,0,0,0,0.75,0
1890,4,0.25,0,0,0,0.75,0
1891,1,1,0,0,0,0,0
1892,3,0.333333333333333,0,0,0,0.666666666666667,0
1893,3,0.333333333333333,0,0,0,0.666666666666667,0
1894,2,0,0,0,0,1,0
1895,5,0.2,0,0,0,0.6,0.2
1896,4,0.25,0,0,0,0.5,0.25
1897,4,0.25,0,0,0,0.5,0.25
1898,1,0,0,0,0,0,1
2256,1,1,0,0,0,0,0
2257,2,1,0,0,0,0,0
2261,1,1,0,0,0,0,0
2268,2,0.5,0.5,0,0,0,0
2269,13,0.384615384615385,0.230769230769231,0,0.230769230769231,0.0769230769230769,0.0769230769230769
2270,26,0.230769230769231,0.230769230769231,0,0.384615384615385,0.115384615384615,0.0384615384615385
2271,4,0.5,0,0,0.25,0,0.25
2272,14,0.357142857142857,0.357142857142857,0,0.0714285714285714,0.142857142857143,0.0714285714285714
2273,7,0.285714285714286,0.428571428571429,0,0.142857142857143,0.142857142857143,0
2275,11,0.0909090909090909,0.454545454545455,0,0.272727272727273,0.181818181818182,0
2276,2,1,0,0,0,0,0
2277,6,0.166666666666667,0,0,0.166666666666667,0.5,0.166666666666667
2278,5,0.2,0.2,0,0.2,0.4,0
2279,9,0.555555555555556,0.111111111111111,0,0,0.333333333333333,0
2280,3,0.333333333333333,0,0,0,0.666666666666667,0
2281,5,0.2,0,0,0,0.6,0.2
2282,7,0.142857142857143,0.142857142857143,0,0,0.571428571428571,0.142857142857143
2283,5,0.2,0,0,0,0.6,0.2
2284,5,0.2,0,0,0,0.6,0.2
2285,3,0.333333333333333,0,0,0,0.666666666666667,0
2286,3,0.333333333333333,0,0,0,0.666666666666667,0
2287,4,0.25,0,0,0,0.5,0.25
2288,4,0.25,0,0,0,0.5,0.25
2289,6,0.166666666666667,0,0,0,0.666666666666667,0.166666666666667
2290,6,0.166666666666667,0,0,0,0.666666666666667,0.166666666666667
2292,2,0,0,0,0,0.5,0.5
2648,2,0.5,0.5,0,0,0,0
2649,1,1,0,0,0,0,0
2650,3,0.333333333333333,0.666666666666667,0,0,0,0
2651,6,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0
2652,3,0.666666666666667,0.333333333333333,0,0,0,0
2653,3,0.333333333333333,0.666666666666667,0,0,0,0
2654,10,0.5,0.2,0,0.3,0,0
2661,13,0.461538461538462,0.307692307692308,0,0.230769230769231,0,0
2662,2,0,0.5,0,0,0.5,0
2663,20,0.3,0.25,0,0.35,0.1,0
2664,17,0.235294117647059,0.352941176470588,0,0.235294117647059,0.0588235294117647,0.117647058823529
2665,19,0.315789473684211,0.263157894736842,0,0.315789473684211,0.0526315789473684,0.0526315789473684
2666,10,0.5,0.4,0,0.1,0,0
2667,8,0.375,0.25,0,0.375,0,0
2668,3,0.666666666666667,0,0,0.333333333333333,0,0
2669,4,0.5,0.5,0,0,0,0
2670,1,1,0,0,0,0,0
2671,6,0.333333333333333,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667
2672,4,0.25,0.25,0,0,0.5,0
2673,5,0.4,0.4,0,0,0.2,0
2674,3,0.333333333333333,0,0,0,0.666666666666667,0
2675,1,0,0,0,0,1,0
2676,4,0.25,0,0,0,0.5,0.25
2677,6,0.166666666666667,0,0,0,0.666666666666667,0.166666666666667
2679,2,0.5,0,0,0,0.5,0
2680,4,0.25,0,0,0,0.5,0.25
2681,2,0.5,0,0,0,0.5,0
2682,6,0.166666666666667,0,0,0,0.666666666666667,0.166666666666667
2683,5,0.2,0.4,0,0,0.2,0.2
2684,5,0.2,0,0,0,0.6,0.2
2685,3,0.333333333333333,0,0,0,0.666666666666667,0
3038,3,0.333333333333333,0.666666666666667,0,0,0,0
3039,2,0.5,0.5,0,0,0,0
3040,8,0.375,0.375,0,0.25,0,0
3042,4,0.25,0.25,0,0.5,0,0
3044,1,0,1,0,0,0,0
3046,6,0.166666666666667,0.5,0,0.333333333333333,0,0
3048,7,0.285714285714286,0.285714285714286,0,0.428571428571429,0,0
3053,5,0,0.6,0,0.4,0,0
3054,6,0.333333333333333,0.166666666666667,0,0.166666666666667,0,0.333333333333333
3055,14,0.357142857142857,0.285714285714286,0,0.285714285714286,0.0714285714285714,0
3056,1,0,1,0,0,0,0
3057,9,0.111111111111111,0.333333333333333,0,0.444444444444444,0.111111111111111,0
3058,9,0.222222222222222,0.111111111111111,0,0.555555555555556,0,0.111111111111111
3059,12,0.25,0.333333333333333,0,0.416666666666667,0,0
3060,10,0.4,0.3,0,0.3,0,0
3061,7,0.428571428571429,0.285714285714286,0,0.285714285714286,0,0
3062,5,0.6,0.2,0,0,0.2,0
3063,1,1,0,0,0,0,0
3064,3,0.666666666666667,0,0,0,0.333333333333333,0
3065,4,0.25,0.25,0,0,0.5,0
3066,5,0.2,0.2,0,0,0.6,0
3067,6,0.166666666666667,0.166666666666667,0,0.166666666666667,0.5,0
3068,2,0.5,0,0,0,0.5,0
3070,2,0,0,0,0,0.5,0.5
3071,6,0.166666666666667,0,0,0,0.666666666666667,0.166666666666667
3072,4,0.25,0,0,0,0.5,0.25
3073,4,0.25,0,0,0,0.5,0.25
3074,5,0.2,0,0,0.2,0.4,0.2
3075,3,0.333333333333333,0,0,0,0.666666666666667,0
3076,7,0.142857142857143,0.285714285714286,0,0,0.428571428571429,0.142857142857143
3077,5,0.2,0,0,0,0.6,0.2
